WqnOB	6k1/7p/p1P1b1p1/5p2/8/6P1/r5BP/2R3K1 b - - 0 29	e6c8 g2d5 g8g7 d5a2	800	easy	crushing endgame fork master short
Zs7l3	3K4/3R1Pp1/6kp/5n2/8/8/r7/8 w - - 13 58	f7f8q a2a8 d8c7 a8f8	800	easy	crushing endgame short skewer
x49pX	5r1k/p5pp/3Q4/8/8/8/Pq2rPPP/R4RK1 b - - 4 22	e2f2 d6f8 f2f8 f1f8	801	easy	backRankMate endgame mate mateIn2 short xRayAttack
4kYFv	r1bqkb1r/pp1pp1np/2n2p2/6NB/3p3B/4P3/PPP2PPP/RN1QK2R b KQkq - 1 9	g7h5 d1h5	802	easy	mate mateIn1 oneMove opening
cPvyK	3Q4/5k2/4p1pK/1p1p1r2/p2P1P1p/P1PbP3/8/8 w - - 10 58	e3e4 f5h5	802	easy	endgame master mate mateIn1 oneMove
S4k1t	r3kbnr/pppb2p1/2n1p1Bp/3pP3/3q4/5QP1/PPP2P1P/RNB1K2R b KQ - 3 10	e8d8 f3f8 d7e8 f8e8	804	easy	hangingPiece mate mateIn2 opening short
0LMTP	1r4k1/5pp1/2p2q1p/p2p4/PB1P4/1P1Q2P1/4RPKP/8 b - - 0 31	b8b4 e2e8	805	easy	endgame master mate mateIn1 oneMove
amfX6	7k/pp3r1p/3b4/1B6/P5QP/2P3P1/5P1K/3r4 w - - 11 37	b5c4 f7f2 h2h3 d1h1	805	easy	endgame mate mateIn2 short
5PCXt	r1bq2k1/ppp3bp/3p2p1/3P1n2/4N3/5PN1/PP2Q1PP/3R2K1 b - - 0 20	d8e8 e4f6 g7f6 e2e8	806	easy	crushing discoveredAttack kingsideAttack middlegame short
yhI6L	6r1/pp4pk/8/3pR2p/1q6/5P2/PP4R1/5K2 b - - 7 38	b4d4 e5h5	807	easy	endgame master mate mateIn1 oneMove queenRookEndgame
QvwsF	4r2r/pp4k1/2p5/2Pq2Pn/3P1p2/3Q1N1b/P4K1P/1B4R1 b - - 2 32	e8e4 d3e4 d5e4 b1e4	808	easy	advantage middlegame short
X8gAy	r7/4r2p/2p1P1pk/2N2p2/1P4q1/2Q5/P4PPP/3R2K1 w - - 5 38	c3f6 g4d1	808	easy	backRankMate endgame hangingPiece mate mateIn1 oneMove
sfAs1	6k1/1q3p1p/3p2p1/1prNnPP1/3Q4/1P5P/P5K1/3R4 w - - 0 32	g2g1 e5f3 g1f2 f3d4	808	easy	crushing endgame fork master short
ucZjF	4Rr1k/2p3p1/1p1p2Qp/3P1P1P/2q5/6P1/6K1/8 b - - 1 46	c4d4 e8f8	808	easy	endgame hangingPiece master mate mateIn1 oneMove
AFYtT	1r3r1k/1R3N1p/2p2Pp1/p2nP3/6P1/PP5K/7P/8 b - - 4 36	f8f7 b7b8 f7f8 b8f8	810	easy	endgame hangingPiece mate mateIn2 short
WfacB	8/ppN3kp/3p2p1/4q3/2P1r3/1P4Pb/P5QK/5R2 w - - 0 29	h2h3 e5h5	811	easy	endgame mate mateIn1 oneMove
4NwJW	8/r7/8/3p4/PR1P1B2/3b1kPK/4pP2/4R3 w - - 1 41	b4b3 a7h7 f4h6 h7h6	812	easy	endgame mate mateIn2 short
TXthx	r4r2/2pkb3/ppn3Qp/4p1p1/3qP3/2N5/PPP3PP/R1B2R1K w - - 5 22	f1d1 d4d1 c3d1 f8f1	812	easy	backRankMate mate mateIn2 middlegame sacrifice short
bMO9l	2b2qk1/p6p/1p4p1/2p1N1Q1/2P1Pn2/3P4/PB4PP/6K1 w - - 3 31	e5c6 f4e2 g1h1 f8f1	812	easy	endgame mate mateIn2 short
rNOrp	rn1qkbnr/pppbp2p/5pQ1/4N3/8/3B4/PPP2PPP/RNB2RK1 b kq - 0 8	h7g6 d3g6	812	easy	mate mateIn1 oneMove opening
v1awO	r5kr/p2QBppp/1p2pq1n/8/8/2P2PP1/P1P4P/2KR2Nb b - - 4 16	f6c3 d7d8 a8d8 d1d8	812	easy	backRankMate mate mateIn2 middlegame sacrifice short
Cyfqt	6k1/5ppp/2p2r2/5q2/1P1P4/R1PNr2P/3R1PP1/5K2 b - - 0 35	e3d3 a3a8 f5c8 a8c8	814	easy	backRankMate endgame mate mateIn2 queenRookEndgame short
pbrWT	r2qr1k1/pp3ppp/4bb2/8/1P6/P3P3/R1Q2PPP/1B1R2K1 b - - 3 20	d8e7 c2h7 g8f8 h7h8	814	easy	kingsideAttack mate mateIn2 middlegame short
ULAJO	5R2/pp5p/2k2pp1/8/8/4K1P1/2P4r/8 b - - 1 35	h2c2 f8c8 c6d6 c8c2	815	easy	crushing endgame rookEndgame short skewer
W9yEw	3r2k1/p4ppp/8/8/2p1r3/2B3P1/PbK2P1P/3RR3 b - - 2 26	e4e1 d1d8 e1e8 d8e8	815	easy	endgame hangingPiece mate mateIn2 short
uX0Yq	7r/p1k2p2/1pn2Pp1/2B1p1P1/2n1P3/2P2N2/PP4K1/3R4 w - - 0 25	c5a3 c4e3 g2f2 e3d1	815	easy	crushing endgame fork short
KQi3M	3r1rb1/p4k2/3P1p2/1pp1n2N/4P3/1P6/P1KR2R1/8 b - - 5 39	c5c4 g2g7 f7e6 h5f4	816	easy	mate mateIn2 middlegame short
TayJq	r2qk1nr/pp1n4/2pbpp1p/3pNbpQ/3P1P2/2P1P1P1/PP1N2BP/R1B1K2R b KQkq - 1 10	e8f8 h5f7	816	easy	master mate mateIn1 middlegame oneMove
sjNNB	8/8/p1b5/1p1p1p2/1P1B2p1/P1R1PkP1/1r3P2/5K2 w - - 13 55	c3c6 b2b1 c6c1 b1c1	816	easy	endgame mate mateIn2 short
Yx1if	5r2/1p4R1/p1k1r2p/3pNp1P/3P4/2P5/PP1K4/8 b - - 3 36	c6d6 g7d7	817	easy	endgame hookMate mate mateIn1 oneMove
7agD8	6r1/pp5k/2p1rn1p/2Pp3P/1P2p1PR/4PPB1/P2K4/5R2 w - - 0 26	f3e4 f6e4 d2d1 e4g3	818	easy	crushing endgame fork short
bwHl4	r1b2bk1/B3qpp1/1P1p4/Q2Pp3/4Pn2/2p3Pp/2P2P1N/R4RK1 w - - 1 37	a5c3 f4e2 g1h1 e2c3	818	easy	crushing fork master middlegame short
wyOZv	r3k1r1/1p3p1p/p1np1p2/3Qp3/4P3/1N2qP2/PPP1KbPP/R4B1R w q - 1 17	e2d1 e3e1	818	easy	mate mateIn1 middlegame oneMove
UC7fH	3r3r/p5k1/4p1p1/2p1p3/1pPnB1p1/1P4N1/P4PPq/2QRR1K1 w - - 8 25	g1f1 h2h1 g3h1 h8h1	819	easy	mate mateIn2 middlegame sacrifice short
zqJSl	r4k2/1p3p1R/4p3/1pPp3N/r1n5/P7/5PPP/R5K1 b - - 0 28	a4a3 h7h8 f8e7 h8a8	819	easy	crushing endgame short
7mRYb	1r4k1/3q1p1p/1r2pPp1/2p5/4P3/1BQP3P/8/2KR3R w - - 3 33	c1c2 b6b3 c3b3 b8b3	820	easy	advantage middlegame short
LANFh	rn3k1r/p1q1ppbp/4b1p1/2pnP3/1pB2B2/1N3P2/PPPQ2PP/1K1R2NR b - - 8 15	d5f4 d2d8 c7d8 d1d8	820	easy	backRankMate mate mateIn2 middlegame short
i2bND	6k1/pq2npp1/1p2p3/1N1pP1BP/Prr5/8/5P2/R2QR1K1 w - - 3 29	b5d6 c4g4 d1g4 b4g4	820	easy	crushing fork middlegame short
k0ioH	1r2k3/5pb1/4p3/3pP3/Pq6/p1Q2B2/P5R1/K5R1 w - - 10 47	g2g7 b4c3	820	easy	endgame hangingPiece master mate mateIn1 oneMove
BRX2v	r2q1rk1/4bppp/b3n3/p2QPN2/Pp6/8/NP3PPP/R1B1R1K1 b - - 0 21	d8d5 f5e7 g8h8 e7d5	821	easy	advantage fork hangingPiece master middlegame short
qScxQ	r1b2rk1/3p1ppp/p1n1p3/1p2P3/5P1P/2QBq1P1/PPPN4/2K3RR b - - 2 19	c8b7 d3h7 g8h7 c3e3	821	easy	crushing discoveredAttack middlegame short
6adiQ	6k1/5ppp/p2p1b2/1p3N2/5P2/1Pq5/4RK1P/1n4R1 b - - 2 35	b1a3 e2e8	822	easy	endgame mate mateIn1 oneMove
EnzCB	Q7/5p1k/8/4pN1P/3p3R/6P1/2q1r3/3R2K1 w - - 6 39	h4g4 c2d1	823	easy	endgame hangingPiece mate mateIn1 oneMove
kQnyt	r3r2k/8/p1p2pp1/8/1P1P3P/2Q3R1/2b2qP1/2BK1B1R w - - 2 26	c3c2 e8e1	823	easy	master mate mateIn1 middlegame oneMove superGM
